key,companies,profit
338,Ciby 2000,12119639
339,Beacon Pictures,0
339,Columbia Pictures Corporation,0
340,Morgan Creek Productions,92217396
340,Warner Bros.,92217396
341,PolyGram Filmed Entertainment,11220670
342,Gramercy Pictures,0
343,Timothy Burrill Productions,-3137195
343,Canal+,-3137195
343,Les Films Alain Sarde,-3137195
343,Columbia Pictures Corporation,-3137195
343,R.P. Productions,-3137195
343,Fine Line Features,-3137195
344,Miramax Films,0
345,Mace Neufeld Productions,153887717
345,Paramount Pictures,153887717
346,Warner Bros.,72615211
346,Alcor Films,72615211
346,Regency Enterprises,72615211
347,New Line Cinema,0
348,40 Acres & A Mule Filmworks,0
348,Universal Pictures,0
349,Edward R. Pressman Film,79000000
349,Jeff Most Productions,79000000
349,Entertainment Media Investment Corporation,79000000
349,Crowvision Inc.,79000000
349,Miramax Films,79000000
350,Aleor Films,1007583
350,Warner Bros.,1007583
350,Alcor Films,1007583
350,Regency Enterprises,1007583
351,Barbera Productions,295631208
351,Hanna,295631208
351,Amblin Entertainment,295631208
351,Universal Pictures,295631208
352,Paramount Pictures,622945399
353,Working Title Films,248700832
353,PolyGram Filmed Entertainment,248700832
353,Channel Four Films,248700832
354,"",0
355,Riot of Color,1777020
355,Think Again Productions,1777020
355,Columbia Pictures Corporation,1777020
356,Touchstone Pictures,16947267
356,Caravan Pictures,16947267
357,TriStar Pictures,0
358,"",0
359,Without Walls,449707
359,Omega Film GmbH,449707
359,Nomad Films,449707
359,Zweites Deutsches Fernsehen (ZDF),449707
359,Arte,449707
359,Channel Four Films,449707
360,Walt Disney Feature Animation,743241776
360,Walt Disney Pictures,743241776
361,Miramax Films,-30141861
362,New Line Cinema,4090181
363,Dark Horse Entertainment,328583407
363,New Line Cinema,328583407
364,Warner Bros.,0
364,Icon Entertainment International,0
365,Miramax Films,0
365,Fine Line Features,0
366,Paramount Pictures,21132598
367,Universal Pictures,-6000000
367,Imagine Entertainment,-6000000
368,Jersey Films,8579850
368,Universal Pictures,8579850
369,PolyGram Filmed Entertainment,-6000000
369,Propaganda Films,-6000000
370,Warner Bros.,-40000000
370,Silver Pictures,-40000000
370,Davis Entertainment,-40000000
371,New Line Cinema,0
372,Foster Company,-45000000
372,Turman,-45000000
372,David Foster Productions,-45000000
372,Universal Pictures,-45000000
